Pressure_dbar	Date	lat_deg	lon_deg	CycleNumber	PatternNumber	PhaseName	SensorType	processing	Temperature_degC	Salinity_PSU	c1phase_deg	c2phase_deg	tempdoxy_degC	doxy_uncalibrated	chlorophyll-a_CN	beta-theta_CN	chlorophyll-a_ug/l	beta-theta_1/msr	NSamples	UVP6_Temp	NP_Size_40.3	NP_Size_50.8	NP_Size_64	NP_Size_80.6	NP_Size_102	NP_Size_128	NP_Size_161	NP_Size_203	NP_Size_256	NP_Size_323	NP_Size_406	NP_Size_512	NP_Size_645	NP_Size_813	NP_Size_1020	NP_Size_1290	NP_Size_1630	NP_Size_2050	MG_Size_40.3	MG_Size_50.8	MG_Size_64	MG_Size_80.6	MG_Size_102	MG_Size_128	MG_Size_161	MG_Size_203	MG_Size_256	MG_Size_323	MG_Size_406	MG_Size_512	MG_Size_645	MG_Size_813	MG_Size_1020	MG_Size_1290	MG_Size_1630	MG_Size_2050	uvp-blk_Internal_temp	uvp-blk_Count1	uvp-blk_Count2	uvp-blk_Count3	uvp-blk_Count4	uvp-blk_Count5
972.22	2021-06-17 12:26:05	NA	NA	14	1	PAR	0	(RW)	4.2302	34.588	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
972.2	2021-06-17 12:26:08	NA	NA	14	1	PAR	3	(RW)	NA	NA	51.169	5.579	4.22	130.174404898361	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
972.2	2021-06-17 12:26:10	NA	NA	14	1	PAR	9	(RW)	NA	NA	NA	NA	NA	NA	53	104	0.0438	9.9921e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
972.2	2021-06-17 12:26:14	NA	NA	14	1	PAR	110	(RW)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.69	0	0	0	132	0
972.2	2021-06-17 12:27:02	NA	NA	14	1	PAR	109	(RW)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	4.77	0	0	0	199.05	1.85	2.2	1.75	0.55	0.25	0.35	0.2	0.05	0	0	0	0	0	0	0	0	0	33	48	51	57	31	15	18	12	5	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
979.68	2021-06-17 12:56:09	NA	NA	14	1	PAR	0	(RW)	4.2218	34.591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
979.6	2021-06-17 12:56:12	NA	NA	14	1	PAR	3	(RW)	NA	NA	51.32	5.747	4.21	130.458573933769	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
979.6	2021-06-17 12:56:14	NA	NA	14	1	PAR	9	(RW)	NA	NA	NA	NA	NA	NA	54	103	0.0511	9.8168e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
980.39	2021-06-17 13:26:11	NA	NA	14	1	PAR	0	(RW)	4.2218	34.591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
980.3	2021-06-17 13:26:14	NA	NA	14	1	PAR	3	(RW)	NA	NA	51.322	5.75	4.21	130.472687171188	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
