Pressure_dbar	Date	lat_deg	lon_deg	CycleNumber	PatternNumber	PhaseName	SensorType	processing	Temperature_degC	Salinity_PSU	c1phase_deg	c2phase_deg	tempdoxy_degC	doxy_uncalibrated	chlorophyll-a_CN	beta-theta_CN	chlorophyll-a_ug/l	beta-theta_1/msr	NSamples	UVP6_Temp	NP_Size_40.3	NP_Size_50.8	NP_Size_64	NP_Size_80.6	NP_Size_102	NP_Size_128	NP_Size_161	NP_Size_203	NP_Size_256	NP_Size_323	NP_Size_406	NP_Size_512	NP_Size_645	NP_Size_813	NP_Size_1020	NP_Size_1290	NP_Size_1630	NP_Size_2050	MG_Size_40.3	MG_Size_50.8	MG_Size_64	MG_Size_80.6	MG_Size_102	MG_Size_128	MG_Size_161	MG_Size_203	MG_Size_256	MG_Size_323	MG_Size_406	MG_Size_512	MG_Size_645	MG_Size_813	MG_Size_1020	MG_Size_1290	MG_Size_1630	MG_Size_2050	uvp-blk_Internal_temp	uvp-blk_Count1	uvp-blk_Count2	uvp-blk_Count3	uvp-blk_Count4	uvp-blk_Count5
223.7	2021-05-07 05:47:14	NA	NA	9	2	PAR	3	(RW)	NA	NA	57.199	6.292	14.77	56.1324855974054	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
223.78	2021-05-07 05:47:15	NA	NA	9	2	PAR	0	(RW)	14.7103	35.509	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
223.7	2021-05-07 05:47:16	NA	NA	9	2	PAR	9	(RW)	NA	NA	NA	NA	NA	NA	52	115	0.0365	0.000119204	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
223.7	2021-05-07 05:47:20	NA	NA	9	2	PAR	110	(RW)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.63	0	0	0	116	0
223.7	2021-05-07 05:48:08	NA	NA	9	2	PAR	109	(RW)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	15.64	0	0	0	246.5	12.95	9.3	6.15	2.45	0.75	0.3	0.15	0	0.05	0.05	0	0	0	0	0	0	0	36	51	60	65	61	41	24	14	0	4	5	0	0	0	0	NA	NA	NA	NA	NA	NA
233.73	2021-05-07 06:17:19	NA	NA	9	2	PAR	0	(RW)	13.9182	35.422	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
233.7	2021-05-07 06:17:19	NA	NA	9	2	PAR	3	(RW)	NA	NA	58.057	6.32	13.98	52.705999123195	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
233.7	2021-05-07 06:17:21	NA	NA	9	2	PAR	9	(RW)	NA	NA	NA	NA	NA	NA	52	123	0.0365	0.000133228	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
243.55	2021-05-07 06:47:21	NA	NA	9	2	PAR	0	(RW)	13.466	35.344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
243.5	2021-05-07 06:47:21	NA	NA	9	2	PAR	3	(RW)	NA	NA	58.772	6.31	13.48	48.9649949929974	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
243.5	2021-05-07 06:47:23	NA	NA	9	2	PAR	9	(RW)	NA	NA	NA	NA	NA	NA	52	130	0.0365	0.000145499	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
243.5	2021-05-07 06:47:27	NA	NA	9	2	PAR	110	(RW)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.19	0	0	0	98	0
243.5	2021-05-07 06:48:15	NA	NA	9	2	PAR	109	(RW)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	14.25	0	0	0	246.7	13.15	10.85	6.65	2.2	0.8	0.25	0.2	0	0	0	0	0	0	0	0	0	0	37	54	57	64	67	33	22	18	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA
245.63	2021-05-07 07:17:23	NA	NA	9	2	PAR	0	(RW)	12.8278	35.272	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
245.6	2021-05-07 07:17:23	NA	NA	9	2	PAR	3	(RW)	NA	NA	59.341	6.294	12.87	46.5303592959914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
245.6	2021-05-07 07:17:25	NA	NA	9	2	PAR	9	(RW)	NA	NA	NA	NA	NA	NA	54	124	0.0511	0.000134981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
247.85	2021-05-07 07:47:25	NA	NA	9	2	PAR	0	(RW)	12.2217	35.193	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
247.8	2021-05-07 07:47:25	NA	NA	9	2	PAR	3	(RW)	NA	NA	60.28	6.27	12.25	41.1643100892629	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
247.8	2021-05-07 07:47:27	NA	NA	9	2	PAR	9	(RW)	NA	NA	NA	NA	NA	NA	53	129	0.0438	0.000143746	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
247.8	2021-05-07 07:47:31	NA	NA	9	2	PAR	110	(RW)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.06	0	0	0	67	0
247.8	2021-05-07 07:48:19	NA	NA	9	2	PAR	109	(RW)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	13.07	0	0	0	254.7	13.8	9.35	6.05	1.85	1	0.45	0.25	0	0.05	0	0	0	0	0	0	0	0	37	52	58	63	60	56	30	18	0	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA
